	DOPC			DOPC		
C32	0.257	0.033	C22	0.183	0.040	
C33	0.224	0.038	C23	0.239	0.037	
C34	0.261	0.035	C24	0.239	0.038	
C35	0.251	0.037	C25	0.247	0.037	
C36	0.250	0.037	C26	0.231	0.039	
C37	0.231	0.039	C27	0.228	0.039	
C38	0.193	0.042	C28	0.164	0.044	
C39	0.133	0.044	C29	0.111	0.046	
C310	0.097	0.043	C210	0.052	0.036	
C311	0.129	0.046	C211	0.118	0.047	
C312	0.173	0.044	C212	0.177	0.045	
C313	0.167	0.045	C213	0.179	0.045	
C314	0.173	0.045	C214	0.190	0.044	
C315	0.150	0.047	C215	0.170	0.046	
C316	0.133	0.048	C216	0.154	0.047	
C317	0.095	0.048	C217	0.112	0.048	
C318	0.050	0.037	C218	0.053	0.038	
Av	0.174	0.015	Av	0.167	0.014	
