	DOPC			DOPC		
C32	0.270	0.039	C22	0.176	0.047	
C33	0.238	0.043	C23	0.238	0.042	
C34	0.272	0.040	C24	0.242	0.042	
C35	0.266	0.042	C25	0.254	0.041	
C36	0.265	0.043	C26	0.238	0.043	
C37	0.246	0.044	C27	0.235	0.043	
C38	0.202	0.048	C28	0.169	0.050	
C39	0.141	0.049	C29	0.115	0.050	
C310	0.097	0.049	C210	0.056	0.040	
C311	0.136	0.051	C211	0.122	0.052	
C312	0.182	0.049	C212	0.183	0.050	
C313	0.178	0.050	C213	0.186	0.050	
C314	0.184	0.050	C214	0.197	0.049	
C315	0.158	0.052	C215	0.177	0.051	
C316	0.141	0.053	C216	0.160	0.051	
C317	0.100	0.052	C217	0.117	0.053	
C318	0.056	0.041	C218	0.059	0.042	
Av	0.184	0.016	Av	0.172	0.014	
