	POPI			POPI		
C32	0.243	0.041	C22	0.205	0.044	
C33	0.221	0.044	C23	0.256	0.041	
C34	0.269	0.039	C24	0.251	0.041	
C35	0.266	0.040	C25	0.260	0.040	
C36	0.283	0.039	C26	0.243	0.043	
C37	0.277	0.040	C27	0.237	0.042	
C38	0.280	0.039	C28	0.173	0.049	
C39	0.270	0.041	C29	0.121	0.051	
C310	0.263	0.041	C210	0.058	0.040	
C311	0.247	0.044	C211	0.125	0.051	
C312	0.234	0.045	C212	0.188	0.048	
C313	0.209	0.048	C213	0.193	0.048	
C314	0.182	0.050	C214	0.204	0.047	
C315	0.135	0.053	C215	0.184	0.050	
C316	0.060	0.043	C216	0.167	0.051	
 	 	 	C217	0.121	0.053	
 	 	 	C218	0.060	0.043	
Av	0.229	0.016	Av	0.179	0.015	
