	DOPC			DOPC		
C32	0.257	0.032	C22	0.177	0.037	
C33	0.235	0.037	C23	0.235	0.036	
C34	0.267	0.034	C24	0.239	0.036	
C35	0.261	0.035	C25	0.247	0.035	
C36	0.257	0.034	C26	0.232	0.037	
C37	0.237	0.037	C27	0.229	0.037	
C38	0.196	0.040	C28	0.165	0.043	
C39	0.136	0.042	C29	0.115	0.043	
C310	0.093	0.042	C210	0.054	0.037	
C311	0.128	0.045	C211	0.125	0.045	
C312	0.173	0.043	C212	0.184	0.042	
C313	0.170	0.043	C213	0.184	0.043	
C314	0.175	0.042	C214	0.193	0.042	
C315	0.150	0.044	C215	0.171	0.043	
C316	0.133	0.045	C216	0.154	0.044	
C317	0.093	0.045	C217	0.111	0.046	
C318	0.049	0.035	C218	0.052	0.037	
Av	0.177	0.016	Av	0.169	0.014	
