	POPI			POPI		
C32	0.251	0.034	C22	0.185	0.036	
C33	0.229	0.038	C23	0.249	0.034	
C34	0.275	0.033	C24	0.242	0.035	
C35	0.272	0.035	C25	0.253	0.035	
C36	0.287	0.033	C26	0.236	0.037	
C37	0.281	0.035	C27	0.231	0.037	
C38	0.281	0.035	C28	0.168	0.043	
C39	0.268	0.037	C29	0.113	0.045	
C310	0.261	0.037	C210	0.054	0.037	
C311	0.245	0.038	C211	0.126	0.045	
C312	0.229	0.039	C212	0.190	0.041	
C313	0.202	0.042	C213	0.193	0.043	
C314	0.174	0.044	C214	0.203	0.041	
C315	0.127	0.046	C215	0.181	0.043	
C316	0.052	0.037	C216	0.163	0.044	
 	 	 	C217	0.117	0.047	
 	 	 	C218	0.053	0.037	
Av	0.229	0.017	Av	0.174	0.015	
