	DOPC			DOPC		
C32	0.253	0.031	C22	0.185	0.036	
C33	0.217	0.035	C23	0.233	0.034	
C34	0.253	0.033	C24	0.231	0.035	
C35	0.244	0.034	C25	0.235	0.034	
C36	0.246	0.035	C26	0.219	0.036	
C37	0.228	0.036	C27	0.214	0.036	
C38	0.187	0.039	C28	0.153	0.040	
C39	0.134	0.040	C29	0.103	0.042	
C310	0.096	0.041	C210	0.052	0.035	
C311	0.125	0.042	C211	0.121	0.043	
C312	0.167	0.040	C212	0.177	0.040	
C313	0.163	0.041	C213	0.176	0.041	
C314	0.167	0.040	C214	0.186	0.040	
C315	0.142	0.042	C215	0.166	0.042	
C316	0.127	0.043	C216	0.149	0.042	
C317	0.090	0.043	C217	0.108	0.044	
C318	0.047	0.034	C218	0.050	0.035	
Av	0.170	0.015	Av	0.162	0.014	
