	POPI			POPI		
C32	0.234	0.032	C22	0.202	0.032	
C33	0.216	0.036	C23	0.260	0.032	
C34	0.264	0.032	C24	0.246	0.034	
C35	0.264	0.033	C25	0.258	0.033	
C36	0.280	0.032	C26	0.241	0.034	
C37	0.276	0.033	C27	0.238	0.035	
C38	0.278	0.032	C28	0.174	0.039	
C39	0.267	0.034	C29	0.120	0.042	
C310	0.259	0.035	C210	0.049	0.034	
C311	0.240	0.037	C211	0.121	0.044	
C312	0.225	0.038	C212	0.183	0.041	
C313	0.198	0.040	C213	0.185	0.041	
C314	0.171	0.042	C214	0.195	0.040	
C315	0.124	0.044	C215	0.173	0.042	
C316	0.050	0.036	C216	0.155	0.043	
 	 	 	C217	0.110	0.044	
 	 	 	C218	0.051	0.036	
Av	0.223	0.016	Av	0.174	0.016	
