	DOPC			DOPC		
C32	0.297	0.116	C22	0.232	0.122	
C33	0.273	0.122	C23	0.273	0.125	
C34	0.305	0.116	C24	0.273	0.125	
C35	0.288	0.125	C25	0.280	0.125	
C36	0.290	0.124	C26	0.275	0.127	
C37	0.272	0.126	C27	0.272	0.127	
C38	0.244	0.129	C28	0.227	0.128	
C39	0.207	0.124	C29	0.191	0.122	
C310	0.197	0.120	C210	0.163	0.114	
C311	0.206	0.127	C211	0.196	0.124	
C312	0.224	0.128	C212	0.236	0.129	
C313	0.225	0.128	C213	0.235	0.130	
C314	0.226	0.129	C214	0.242	0.130	
C315	0.214	0.128	C215	0.229	0.130	
C316	0.206	0.127	C216	0.220	0.130	
C317	0.190	0.125	C217	0.198	0.127	
C318	0.180	0.127	C218	0.179	0.126	
Av	0.238	0.010	Av	0.231	0.009	
