	POPI			POPI		
C32	0.269	0.124	C22	0.199	0.120	
C33	0.256	0.130	C23	0.240	0.122	
C34	0.302	0.119	C24	0.239	0.127	
C35	0.300	0.122	C25	0.267	0.127	
C36	0.304	0.122	C26	0.255	0.129	
C37	0.300	0.124	C27	0.259	0.128	
C38	0.295	0.126	C28	0.214	0.128	
C39	0.289	0.127	C29	0.194	0.126	
C310	0.282	0.128	C210	0.171	0.121	
C311	0.271	0.130	C211	0.195	0.126	
C312	0.263	0.131	C212	0.227	0.129	
C313	0.246	0.131	C213	0.232	0.130	
C314	0.231	0.131	C214	0.242	0.130	
C315	0.208	0.130	C215	0.232	0.131	
C316	0.181	0.127	C216	0.224	0.130	
 	 	 	C217	0.203	0.128	
 	 	 	C218	0.180	0.127	
Av	0.267	0.009	Av	0.222	0.007	
