	POPI			POPI		
C32	0.252	0.033	C22	0.203	0.039	
C33	0.231	0.037	C23	0.259	0.034	
C34	0.277	0.034	C24	0.250	0.035	
C35	0.274	0.035	C25	0.256	0.035	
C36	0.289	0.034	C26	0.239	0.037	
C37	0.282	0.034	C27	0.236	0.037	
C38	0.281	0.033	C28	0.171	0.041	
C39	0.268	0.035	C29	0.115	0.044	
C310	0.260	0.036	C210	0.053	0.036	
C311	0.242	0.038	C211	0.126	0.045	
C312	0.227	0.039	C212	0.188	0.041	
C313	0.201	0.042	C213	0.190	0.042	
C314	0.173	0.043	C214	0.199	0.041	
C315	0.125	0.046	C215	0.177	0.043	
C316	0.052	0.037	C216	0.160	0.044	
 	 	 	C217	0.114	0.046	
 	 	 	C218	0.053	0.037	
Av	0.229	0.017	Av	0.176	0.015	
