	DOPC			DOPC		
C32	0.261	0.033	C22	0.178	0.039	
C33	0.224	0.038	C23	0.234	0.036	
C34	0.262	0.036	C24	0.231	0.037	
C35	0.254	0.036	C25	0.242	0.036	
C36	0.252	0.037	C26	0.226	0.038	
C37	0.234	0.038	C27	0.223	0.038	
C38	0.195	0.041	C28	0.162	0.043	
C39	0.139	0.042	C29	0.113	0.044	
C310	0.101	0.043	C210	0.050	0.035	
C311	0.130	0.044	C211	0.117	0.045	
C312	0.172	0.042	C212	0.174	0.042	
C313	0.165	0.043	C213	0.175	0.042	
C314	0.169	0.043	C214	0.185	0.042	
C315	0.144	0.045	C215	0.164	0.044	
C316	0.128	0.046	C216	0.149	0.044	
C317	0.090	0.046	C217	0.107	0.046	
C318	0.048	0.035	C218	0.051	0.036	
Av	0.175	0.015	Av	0.164	0.014	
