	DOPC			DOPC		
C32	0.253	0.032	C22	0.169	0.035	
C33	0.216	0.035	C23	0.225	0.033	
C34	0.248	0.032	C24	0.226	0.034	
C35	0.238	0.033	C25	0.235	0.033	
C36	0.238	0.033	C26	0.218	0.035	
C37	0.219	0.035	C27	0.215	0.035	
C38	0.185	0.036	C28	0.153	0.039	
C39	0.132	0.039	C29	0.110	0.040	
C310	0.094	0.040	C210	0.046	0.032	
C311	0.118	0.041	C211	0.110	0.042	
C312	0.155	0.039	C212	0.163	0.039	
C313	0.147	0.040	C213	0.161	0.039	
C314	0.150	0.040	C214	0.171	0.040	
C315	0.126	0.042	C215	0.149	0.041	
C316	0.111	0.043	C216	0.134	0.042	
C317	0.079	0.042	C217	0.096	0.043	
C318	0.043	0.031	C218	0.046	0.033	
Av	0.162	0.015	Av	0.155	0.014	
