	POPI			POPI		
C32	0.242	0.041	C22	0.216	0.042	
C33	0.228	0.044	C23	0.266	0.038	
C34	0.276	0.038	C24	0.254	0.040	
C35	0.277	0.039	C25	0.259	0.041	
C36	0.292	0.038	C26	0.240	0.043	
C37	0.286	0.039	C27	0.234	0.044	
C38	0.288	0.039	C28	0.169	0.050	
C39	0.277	0.041	C29	0.115	0.051	
C310	0.268	0.042	C210	0.057	0.041	
C311	0.252	0.044	C211	0.126	0.052	
C312	0.238	0.046	C212	0.189	0.050	
C313	0.213	0.049	C213	0.192	0.050	
C314	0.184	0.051	C214	0.203	0.049	
C315	0.137	0.053	C215	0.183	0.050	
C316	0.060	0.042	C216	0.165	0.051	
 	 	 	C217	0.120	0.053	
 	 	 	C218	0.059	0.042	
Av	0.235	0.016	Av	0.179	0.015	
