	DOPC			DOPC		
C32	0.268	0.038	C22	0.176	0.048	
C33	0.235	0.043	C23	0.248	0.043	
C34	0.266	0.039	C24	0.248	0.043	
C35	0.256	0.041	C25	0.258	0.042	
C36	0.257	0.041	C26	0.239	0.043	
C37	0.236	0.043	C27	0.235	0.043	
C38	0.193	0.048	C28	0.169	0.049	
C39	0.133	0.049	C29	0.118	0.051	
C310	0.097	0.049	C210	0.055	0.040	
C311	0.131	0.052	C211	0.121	0.052	
C312	0.175	0.050	C212	0.182	0.049	
C313	0.173	0.050	C213	0.185	0.050	
C314	0.180	0.049	C214	0.197	0.049	
C315	0.155	0.052	C215	0.177	0.051	
C316	0.139	0.052	C216	0.160	0.051	
C317	0.099	0.052	C217	0.118	0.053	
C318	0.056	0.040	C218	0.059	0.042	
Av	0.179	0.015	Av	0.173	0.015	
