	DOPC			DOPC		
C32	0.254	0.126	C22	0.248	0.123	
C33	0.222	0.128	C23	0.275	0.123	
C34	0.252	0.129	C24	0.279	0.123	
C35	0.260	0.128	C25	0.281	0.123	
C36	0.269	0.129	C26	0.269	0.127	
C37	0.256	0.131	C27	0.261	0.127	
C38	0.211	0.129	C28	0.216	0.127	
C39	0.191	0.123	C29	0.184	0.120	
C310	0.183	0.122	C210	0.168	0.114	
C311	0.205	0.129	C211	0.205	0.125	
C312	0.238	0.130	C212	0.234	0.129	
C313	0.241	0.130	C213	0.238	0.130	
C314	0.242	0.131	C214	0.245	0.130	
C315	0.232	0.130	C215	0.229	0.130	
C316	0.220	0.130	C216	0.217	0.129	
C317	0.199	0.127	C217	0.196	0.128	
C318	0.180	0.126	C218	0.180	0.126	
Av	0.227	0.007	Av	0.231	0.008	
