	POPI			POPI		
C32	0.274	0.123	C22	0.193	0.123	
C33	0.276	0.125	C23	0.226	0.128	
C34	0.312	0.117	C24	0.222	0.129	
C35	0.317	0.116	C25	0.243	0.131	
C36	0.324	0.114	C26	0.243	0.130	
C37	0.319	0.118	C27	0.252	0.130	
C38	0.324	0.114	C28	0.209	0.127	
C39	0.316	0.117	C29	0.179	0.120	
C310	0.312	0.118	C210	0.172	0.118	
C311	0.303	0.123	C211	0.223	0.129	
C312	0.295	0.124	C212	0.279	0.126	
C313	0.276	0.129	C213	0.282	0.127	
C314	0.253	0.132	C214	0.289	0.126	
C315	0.219	0.131	C215	0.273	0.129	
C316	0.182	0.127	C216	0.256	0.131	
 	 	 	C217	0.221	0.130	
 	 	 	C218	0.182	0.126	
Av	0.287	0.010	Av	0.232	0.009	
