	DOPC			DOPC		
C32	0.260	0.033	C22	0.180	0.038	
C33	0.225	0.037	C23	0.241	0.036	
C34	0.261	0.033	C24	0.239	0.036	
C35	0.252	0.035	C25	0.250	0.036	
C36	0.253	0.035	C26	0.231	0.038	
C37	0.234	0.037	C27	0.227	0.038	
C38	0.194	0.039	C28	0.163	0.043	
C39	0.136	0.041	C29	0.114	0.045	
C310	0.102	0.042	C210	0.050	0.035	
C311	0.133	0.044	C211	0.120	0.045	
C312	0.174	0.041	C212	0.179	0.042	
C313	0.170	0.043	C213	0.182	0.042	
C314	0.175	0.043	C214	0.192	0.041	
C315	0.150	0.045	C215	0.172	0.043	
C316	0.133	0.045	C216	0.156	0.044	
C317	0.094	0.046	C217	0.112	0.046	
C318	0.049	0.036	C218	0.052	0.037	
Av	0.176	0.015	Av	0.168	0.015	
