	POPI			POPI		
C32	0.244	0.035	C22	0.198	0.037	
C33	0.229	0.037	C23	0.259	0.034	
C34	0.274	0.033	C24	0.250	0.035	
C35	0.274	0.034	C25	0.259	0.035	
C36	0.290	0.033	C26	0.242	0.036	
C37	0.285	0.034	C27	0.238	0.037	
C38	0.285	0.034	C28	0.172	0.042	
C39	0.274	0.036	C29	0.118	0.043	
C310	0.266	0.036	C210	0.053	0.037	
C311	0.249	0.038	C211	0.125	0.045	
C312	0.232	0.039	C212	0.187	0.042	
C313	0.206	0.041	C213	0.192	0.042	
C314	0.177	0.043	C214	0.202	0.040	
C315	0.130	0.046	C215	0.180	0.042	
C316	0.052	0.037	C216	0.163	0.043	
 	 	 	C217	0.117	0.046	
 	 	 	C218	0.053	0.037	
Av	0.231	0.017	Av	0.177	0.015	
