	DOPC			DOPC		
C32	0.263	0.036	C22	0.179	0.043	
C33	0.220	0.040	C23	0.233	0.037	
C34	0.260	0.036	C24	0.238	0.037	
C35	0.254	0.037	C25	0.248	0.038	
C36	0.253	0.037	C26	0.230	0.040	
C37	0.232	0.040	C27	0.227	0.040	
C38	0.193	0.042	C28	0.162	0.045	
C39	0.138	0.044	C29	0.110	0.046	
C310	0.101	0.044	C210	0.053	0.037	
C311	0.132	0.047	C211	0.122	0.047	
C312	0.175	0.044	C212	0.180	0.044	
C313	0.169	0.044	C213	0.184	0.044	
C314	0.173	0.044	C214	0.194	0.043	
C315	0.148	0.047	C215	0.174	0.045	
C316	0.132	0.047	C216	0.157	0.046	
C317	0.093	0.047	C217	0.113	0.048	
C318	0.050	0.036	C218	0.054	0.038	
Av	0.176	0.015	Av	0.168	0.014	
