Avg_300ns	SD_30ns	Avg_500ns	SD_500
0.524	0.006	0.526	0.008
0.526	0.006	0.525	0.006
0.526	0.006	0.527	0.006
0.524	0.006	0.524	0.006
0.522	0.007	0.523	0.007
0.521	0.007	0.52	0.007
0.513	0.006	0.514	0.006
0.495	0.005	0.5	0.007
