Avg_300ns	SD_30ns	Avg_500ns	SD_500
0.234	0.017	0.231	0.017
0.23	0.016	0.231	0.017
0.233	0.017	0.234	0.017
0.234	0.016	0.23	0.016
0.237	0.016	0.235	0.017
0.233	0.016	0.233	0.016
0.239	0.015	0.236	0.015
0.287	0.009	0.279	0.01
