Avg_300ns	SD_30ns	Avg_500ns	SD_500
0.179	0.016	0.176	0.016
0.174	0.015	0.176	0.015
0.176	0.015	0.175	0.015
0.177	0.015	0.178	0.015
0.179	0.015	0.179	0.015
0.179	0.014	0.178	0.014
0.186	0.014	0.186	0.014
0.227	0.007	0.229	0.008
