	DOPC			DOPC		
C32	0.287	0.125	C22	0.243	0.123	
C33	0.239	0.129	C23	0.271	0.123	
C34	0.266	0.126	C24	0.273	0.124	
C35	0.267	0.126	C25	0.278	0.124	
C36	0.270	0.128	C26	0.268	0.127	
C37	0.253	0.130	C27	0.263	0.128	
C38	0.215	0.129	C28	0.217	0.128	
C39	0.194	0.124	C29	0.188	0.122	
C310	0.186	0.123	C210	0.169	0.119	
C311	0.204	0.128	C211	0.197	0.125	
C312	0.230	0.130	C212	0.222	0.129	
C313	0.232	0.131	C213	0.227	0.130	
C314	0.234	0.130	C214	0.234	0.130	
C315	0.224	0.130	C215	0.222	0.129	
C316	0.213	0.129	C216	0.213	0.128	
C317	0.195	0.127	C217	0.195	0.127	
C318	0.179	0.127	C218	0.180	0.126	
Av	0.229	0.008	Av	0.227	0.008	
