	POPI			POPI		
C32	0.270	0.123	C22	0.211	0.126	
C33	0.265	0.128	C23	0.255	0.129	
C34	0.309	0.118	C24	0.249	0.130	
C35	0.313	0.118	C25	0.263	0.129	
C36	0.321	0.115	C26	0.255	0.130	
C37	0.315	0.119	C27	0.259	0.128	
C38	0.315	0.118	C28	0.212	0.127	
C39	0.308	0.121	C29	0.184	0.121	
C310	0.303	0.122	C210	0.168	0.117	
C311	0.290	0.126	C211	0.212	0.128	
C312	0.282	0.127	C212	0.264	0.129	
C313	0.263	0.131	C213	0.269	0.129	
C314	0.242	0.132	C214	0.274	0.128	
C315	0.213	0.130	C215	0.258	0.131	
C316	0.182	0.127	C216	0.243	0.131	
 	 	 	C217	0.214	0.130	
 	 	 	C218	0.181	0.126	
Av	0.279	0.010	Av	0.234	0.008	
