	DOPC			DOPC		
C32	0.253	0.031	C22	0.182	0.037	
C33	0.220	0.035	C23	0.235	0.034	
C34	0.255	0.032	C24	0.233	0.034	
C35	0.246	0.034	C25	0.239	0.034	
C36	0.247	0.034	C26	0.223	0.035	
C37	0.229	0.035	C27	0.218	0.036	
C38	0.187	0.038	C28	0.157	0.041	
C39	0.134	0.040	C29	0.106	0.043	
C310	0.095	0.041	C210	0.051	0.035	
C311	0.123	0.042	C211	0.119	0.044	
C312	0.166	0.040	C212	0.176	0.041	
C313	0.161	0.042	C213	0.176	0.041	
C314	0.165	0.041	C214	0.186	0.041	
C315	0.141	0.043	C215	0.165	0.042	
C316	0.126	0.043	C216	0.148	0.043	
C317	0.088	0.044	C217	0.107	0.044	
C318	0.047	0.033	C218	0.049	0.035	
Av	0.170	0.015	Av	0.163	0.014	
