	POPI			POPI		
C32	0.235	0.033	C22	0.208	0.033	
C33	0.219	0.036	C23	0.261	0.032	
C34	0.267	0.032	C24	0.249	0.033	
C35	0.267	0.033	C25	0.259	0.033	
C36	0.282	0.032	C26	0.243	0.034	
C37	0.277	0.033	C27	0.239	0.035	
C38	0.278	0.033	C28	0.176	0.039	
C39	0.266	0.034	C29	0.122	0.042	
C310	0.258	0.035	C210	0.049	0.034	
C311	0.239	0.036	C211	0.121	0.043	
C312	0.224	0.037	C212	0.182	0.040	
C313	0.197	0.040	C213	0.184	0.040	
C314	0.169	0.042	C214	0.194	0.040	
C315	0.123	0.044	C215	0.172	0.041	
C316	0.050	0.035	C216	0.154	0.042	
 	 	 	C217	0.110	0.044	
 	 	 	C218	0.051	0.036	
Av	0.223	0.016	Av	0.175	0.016	
