	POPI			POPI		
C32	0.246	0.036	C22	0.206	0.037	
C33	0.228	0.038	C23	0.262	0.034	
C34	0.270	0.035	C24	0.251	0.035	
C35	0.265	0.036	C25	0.257	0.036	
C36	0.282	0.035	C26	0.238	0.037	
C37	0.276	0.036	C27	0.232	0.038	
C38	0.277	0.036	C28	0.169	0.045	
C39	0.265	0.038	C29	0.114	0.045	
C310	0.258	0.039	C210	0.052	0.036	
C311	0.241	0.040	C211	0.122	0.046	
C312	0.226	0.041	C212	0.180	0.044	
C313	0.201	0.043	C213	0.182	0.044	
C314	0.173	0.046	C214	0.193	0.043	
C315	0.127	0.048	C215	0.172	0.046	
C316	0.053	0.038	C216	0.156	0.046	
 	 	 	C217	0.112	0.048	
 	 	 	C218	0.054	0.038	
Av	0.226	0.016	Av	0.174	0.016	
