	DOPC			DOPC		
C32	0.263	0.034	C22	0.174	0.042	
C33	0.228	0.040	C23	0.233	0.039	
C34	0.265	0.036	C24	0.235	0.038	
C35	0.255	0.037	C25	0.243	0.037	
C36	0.256	0.037	C26	0.226	0.039	
C37	0.238	0.039	C27	0.222	0.039	
C38	0.202	0.042	C28	0.159	0.045	
C39	0.145	0.044	C29	0.110	0.046	
C310	0.105	0.044	C210	0.052	0.037	
C311	0.138	0.046	C211	0.117	0.048	
C312	0.176	0.044	C212	0.176	0.045	
C313	0.171	0.044	C213	0.181	0.045	
C314	0.175	0.045	C214	0.193	0.044	
C315	0.150	0.046	C215	0.174	0.045	
C316	0.132	0.047	C216	0.158	0.046	
C317	0.094	0.047	C217	0.116	0.048	
C318	0.050	0.036	C218	0.054	0.038	
Av	0.179	0.015	Av	0.166	0.014	
