	POPI			POPI		
C32	0.245	0.031	C22	0.193	0.034	
C33	0.225	0.036	C23	0.252	0.032	
C34	0.270	0.032	C24	0.242	0.033	
C35	0.267	0.032	C25	0.252	0.033	
C36	0.282	0.031	C26	0.233	0.036	
C37	0.276	0.032	C27	0.231	0.035	
C38	0.275	0.032	C28	0.169	0.039	
C39	0.261	0.034	C29	0.118	0.040	
C310	0.253	0.034	C210	0.045	0.032	
C311	0.233	0.035	C211	0.118	0.041	
C312	0.216	0.037	C212	0.177	0.038	
C313	0.188	0.039	C213	0.177	0.039	
C314	0.160	0.040	C214	0.186	0.039	
C315	0.114	0.043	C215	0.164	0.040	
C316	0.047	0.034	C216	0.147	0.041	
 	 	 	C217	0.103	0.043	
 	 	 	C218	0.048	0.034	
Av	0.221	0.017	Av	0.168	0.015	
