	DOPC			DOPC		
C32	0.250	0.030	C22	0.174	0.037	
C33	0.213	0.036	C23	0.225	0.033	
C34	0.252	0.033	C24	0.224	0.034	
C35	0.240	0.035	C25	0.235	0.034	
C36	0.240	0.035	C26	0.216	0.036	
C37	0.220	0.036	C27	0.214	0.037	
C38	0.185	0.038	C28	0.152	0.040	
C39	0.133	0.040	C29	0.106	0.042	
C310	0.094	0.039	C210	0.045	0.032	
C311	0.117	0.042	C211	0.106	0.042	
C312	0.155	0.039	C212	0.164	0.039	
C313	0.149	0.041	C213	0.164	0.040	
C314	0.153	0.040	C214	0.172	0.040	
C315	0.131	0.042	C215	0.152	0.041	
C316	0.116	0.042	C216	0.137	0.042	
C317	0.081	0.042	C217	0.099	0.043	
C318	0.044	0.032	C218	0.046	0.033	
Av	0.163	0.015	Av	0.155	0.014	
