	DOPC			DOPC		
C32	0.263	0.038	C22	0.171	0.051	
C33	0.231	0.042	C23	0.240	0.043	
C34	0.262	0.039	C24	0.241	0.042	
C35	0.254	0.041	C25	0.252	0.041	
C36	0.255	0.040	C26	0.235	0.042	
C37	0.235	0.043	C27	0.232	0.042	
C38	0.193	0.048	C28	0.168	0.049	
C39	0.131	0.049	C29	0.118	0.051	
C310	0.097	0.049	C210	0.056	0.040	
C311	0.132	0.052	C211	0.119	0.052	
C312	0.175	0.051	C212	0.180	0.049	
C313	0.172	0.050	C213	0.183	0.049	
C314	0.181	0.049	C214	0.194	0.049	
C315	0.155	0.052	C215	0.174	0.051	
C316	0.139	0.052	C216	0.158	0.051	
C317	0.099	0.052	C217	0.117	0.053	
C318	0.056	0.040	C218	0.059	0.042	
Av	0.178	0.015	Av	0.170	0.014	
