	POPI			POPI		
C32	0.238	0.042	C22	0.225	0.037	
C33	0.226	0.044	C23	0.267	0.039	
C34	0.275	0.038	C24	0.255	0.040	
C35	0.277	0.038	C25	0.261	0.041	
C36	0.292	0.037	C26	0.243	0.042	
C37	0.286	0.039	C27	0.237	0.043	
C38	0.286	0.039	C28	0.174	0.049	
C39	0.275	0.042	C29	0.119	0.050	
C310	0.266	0.043	C210	0.058	0.041	
C311	0.252	0.045	C211	0.127	0.053	
C312	0.238	0.046	C212	0.189	0.051	
C313	0.213	0.049	C213	0.192	0.051	
C314	0.184	0.052	C214	0.203	0.050	
C315	0.137	0.054	C215	0.181	0.051	
C316	0.059	0.042	C216	0.164	0.051	
 	 	 	C217	0.119	0.053	
 	 	 	C218	0.059	0.042	
Av	0.234	0.016	Av	0.181	0.016	
