	POPI			POPI		
C32	0.251	0.038	C22	0.189	0.044	
C33	0.230	0.043	C23	0.256	0.038	
C34	0.279	0.038	C24	0.249	0.040	
C35	0.277	0.039	C25	0.257	0.041	
C36	0.294	0.037	C26	0.240	0.043	
C37	0.288	0.038	C27	0.236	0.044	
C38	0.289	0.038	C28	0.169	0.049	
C39	0.277	0.040	C29	0.113	0.051	
C310	0.268	0.041	C210	0.057	0.040	
C311	0.250	0.043	C211	0.130	0.052	
C312	0.237	0.044	C212	0.191	0.049	
C313	0.210	0.047	C213	0.195	0.048	
C314	0.182	0.049	C214	0.205	0.047	
C315	0.133	0.053	C215	0.185	0.049	
C316	0.059	0.042	C216	0.167	0.051	
 	 	 	C217	0.121	0.053	
 	 	 	C218	0.059	0.042	
Av	0.235	0.016	Av	0.178	0.015	
