	DOPC			DOPC		
C32	0.261	0.038	C22	0.159	0.044	
C33	0.221	0.044	C23	0.234	0.042	
C34	0.256	0.041	C24	0.236	0.043	
C35	0.246	0.042	C25	0.251	0.042	
C36	0.248	0.043	C26	0.233	0.044	
C37	0.227	0.045	C27	0.232	0.044	
C38	0.193	0.047	C28	0.165	0.050	
C39	0.137	0.049	C29	0.116	0.051	
C310	0.104	0.049	C210	0.056	0.040	
C311	0.129	0.052	C211	0.116	0.052	
C312	0.170	0.049	C212	0.177	0.049	
C313	0.166	0.050	C213	0.182	0.049	
C314	0.173	0.051	C214	0.193	0.048	
C315	0.151	0.052	C215	0.174	0.050	
C316	0.135	0.053	C216	0.158	0.051	
C317	0.097	0.052	C217	0.115	0.053	
C318	0.056	0.040	C218	0.059	0.042	
Av	0.175	0.014	Av	0.168	0.014	
