	POPI			POPI		
C32	0.257	0.037	C22	0.209	0.038	
C33	0.235	0.041	C23	0.265	0.035	
C34	0.274	0.036	C24	0.255	0.038	
C35	0.271	0.038	C25	0.264	0.036	
C36	0.286	0.036	C26	0.247	0.039	
C37	0.278	0.037	C27	0.244	0.039	
C38	0.279	0.038	C28	0.178	0.045	
C39	0.265	0.039	C29	0.119	0.047	
C310	0.258	0.040	C210	0.052	0.037	
C311	0.242	0.042	C211	0.123	0.049	
C312	0.228	0.043	C212	0.184	0.045	
C313	0.204	0.045	C213	0.189	0.045	
C314	0.177	0.047	C214	0.200	0.044	
C315	0.129	0.050	C215	0.180	0.047	
C316	0.057	0.040	C216	0.163	0.049	
 	 	 	C217	0.118	0.051	
 	 	 	C218	0.057	0.040	
Av	0.229	0.016	Av	0.179	0.016	
