	DOPC			DOPC		
C32	0.260	0.038	C22	0.198	0.041	
C33	0.227	0.042	C23	0.249	0.038	
C34	0.262	0.040	C24	0.251	0.039	
C35	0.253	0.042	C25	0.258	0.039	
C36	0.253	0.042	C26	0.242	0.042	
C37	0.235	0.043	C27	0.239	0.041	
C38	0.196	0.046	C28	0.174	0.047	
C39	0.137	0.047	C29	0.121	0.049	
C310	0.105	0.046	C210	0.053	0.038	
C311	0.137	0.048	C211	0.121	0.049	
C312	0.177	0.046	C212	0.183	0.046	
C313	0.174	0.047	C213	0.187	0.045	
C314	0.177	0.046	C214	0.197	0.045	
C315	0.155	0.048	C215	0.177	0.047	
C316	0.137	0.049	C216	0.160	0.048	
C317	0.098	0.049	C217	0.116	0.051	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.179	0.015	Av	0.175	0.015	
