	POPI			POPI		
C32	0.260	0.034	C22	0.206	0.040	
C33	0.237	0.039	C23	0.257	0.038	
C34	0.278	0.036	C24	0.248	0.039	
C35	0.274	0.038	C25	0.256	0.038	
C36	0.290	0.036	C26	0.238	0.040	
C37	0.285	0.037	C27	0.234	0.041	
C38	0.285	0.037	C28	0.168	0.046	
C39	0.273	0.039	C29	0.112	0.048	
C310	0.267	0.039	C210	0.059	0.040	
C311	0.250	0.041	C211	0.132	0.050	
C312	0.236	0.042	C212	0.191	0.047	
C313	0.209	0.046	C213	0.194	0.047	
C314	0.181	0.048	C214	0.203	0.046	
C315	0.132	0.050	C215	0.182	0.048	
C316	0.057	0.040	C216	0.166	0.048	
 	 	 	C217	0.121	0.051	
 	 	 	C218	0.057	0.040	
Av	0.234	0.016	Av	0.178	0.015	
