	DOPC			DOPC		
C32	0.263	0.036	C22	0.182	0.041	
C33	0.224	0.041	C23	0.244	0.038	
C34	0.263	0.037	C24	0.242	0.040	
C35	0.254	0.039	C25	0.254	0.038	
C36	0.253	0.040	C26	0.235	0.040	
C37	0.235	0.042	C27	0.231	0.041	
C38	0.194	0.044	C28	0.165	0.047	
C39	0.139	0.046	C29	0.114	0.048	
C310	0.096	0.046	C210	0.054	0.038	
C311	0.130	0.049	C211	0.123	0.048	
C312	0.174	0.047	C212	0.182	0.045	
C313	0.171	0.047	C213	0.184	0.046	
C314	0.175	0.047	C214	0.194	0.045	
C315	0.152	0.048	C215	0.174	0.047	
C316	0.135	0.049	C216	0.158	0.048	
C317	0.097	0.049	C217	0.115	0.050	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.177	0.015	Av	0.171	0.015	
