	DOPC			DOPC		
C32	0.260	0.043	C22	0.167	0.050	
C33	0.221	0.050	C23	0.231	0.049	
C34	0.261	0.043	C24	0.237	0.049	
C35	0.248	0.045	C25	0.251	0.048	
C36	0.246	0.046	C26	0.235	0.049	
C37	0.229	0.048	C27	0.231	0.049	
C38	0.193	0.052	C28	0.164	0.053	
C39	0.132	0.054	C29	0.110	0.054	
C310	0.106	0.054	C210	0.060	0.043	
C311	0.139	0.056	C211	0.128	0.056	
C312	0.183	0.053	C212	0.187	0.053	
C313	0.181	0.053	C213	0.194	0.054	
C314	0.184	0.053	C214	0.203	0.052	
C315	0.159	0.055	C215	0.185	0.054	
C316	0.142	0.056	C216	0.168	0.055	
C317	0.103	0.055	C217	0.126	0.056	
C318	0.059	0.043	C218	0.063	0.045	
Av	0.179	0.014	Av	0.173	0.014	
