	POPI			POPI		
C32	0.239	0.044	C22	0.196	0.047	
C33	0.225	0.047	C23	0.253	0.044	
C34	0.271	0.042	C24	0.239	0.045	
C35	0.273	0.042	C25	0.250	0.046	
C36	0.289	0.041	C26	0.233	0.047	
C37	0.285	0.041	C27	0.230	0.048	
C38	0.287	0.042	C28	0.165	0.055	
C39	0.276	0.044	C29	0.116	0.054	
C310	0.269	0.043	C210	0.059	0.042	
C311	0.253	0.045	C211	0.122	0.056	
C312	0.238	0.047	C212	0.183	0.053	
C313	0.212	0.050	C213	0.190	0.052	
C314	0.183	0.053	C214	0.202	0.050	
C315	0.136	0.056	C215	0.183	0.053	
C316	0.062	0.045	C216	0.168	0.054	
 	 	 	C217	0.124	0.056	
 	 	 	C218	0.063	0.045	
Av	0.233	0.016	Av	0.175	0.014	
