	DOPC			DOPC		
C32	0.267	0.048	C22	0.198	0.064	
C33	0.227	0.057	C23	0.254	0.055	
C34	0.263	0.051	C24	0.250	0.055	
C35	0.251	0.053	C25	0.256	0.052	
C36	0.251	0.053	C26	0.240	0.056	
C37	0.232	0.056	C27	0.233	0.055	
C38	0.195	0.059	C28	0.167	0.062	
C39	0.140	0.061	C29	0.119	0.061	
C310	0.108	0.060	C210	0.061	0.045	
C311	0.137	0.063	C211	0.111	0.063	
C312	0.178	0.062	C212	0.169	0.065	
C313	0.178	0.063	C213	0.179	0.064	
C314	0.184	0.062	C214	0.191	0.062	
C315	0.165	0.064	C215	0.175	0.064	
C316	0.146	0.065	C216	0.160	0.065	
C317	0.111	0.063	C217	0.120	0.064	
C318	0.068	0.050	C218	0.071	0.051	
Av	0.182	0.014	Av	0.174	0.015	
