	POPI			POPI		
C32	0.249	0.052	C22	0.197	0.056	
C33	0.230	0.057	C23	0.262	0.050	
C34	0.276	0.050	C24	0.253	0.051	
C35	0.276	0.052	C25	0.267	0.050	
C36	0.294	0.048	C26	0.247	0.053	
C37	0.290	0.050	C27	0.242	0.054	
C38	0.288	0.049	C28	0.175	0.061	
C39	0.280	0.051	C29	0.119	0.061	
C310	0.273	0.053	C210	0.073	0.051	
C311	0.257	0.056	C211	0.140	0.064	
C312	0.245	0.058	C212	0.202	0.062	
C313	0.222	0.061	C213	0.206	0.062	
C314	0.195	0.063	C214	0.217	0.061	
C315	0.147	0.066	C215	0.196	0.063	
C316	0.072	0.052	C216	0.179	0.065	
 	 	 	C217	0.133	0.065	
 	 	 	C218	0.073	0.052	
Av	0.240	0.015	Av	0.187	0.014	
