	DOPC			DOPC		
C32	0.261	0.032	C22	0.173	0.037	
C33	0.233	0.037	C23	0.234	0.036	
C34	0.267	0.033	C24	0.238	0.036	
C35	0.260	0.035	C25	0.249	0.036	
C36	0.259	0.034	C26	0.234	0.037	
C37	0.239	0.037	C27	0.232	0.037	
C38	0.196	0.040	C28	0.167	0.043	
C39	0.138	0.042	C29	0.116	0.043	
C310	0.095	0.042	C210	0.054	0.037	
C311	0.131	0.044	C211	0.125	0.045	
C312	0.175	0.042	C212	0.185	0.042	
C313	0.172	0.043	C213	0.186	0.042	
C314	0.176	0.042	C214	0.196	0.041	
C315	0.151	0.045	C215	0.174	0.043	
C316	0.133	0.045	C216	0.156	0.044	
C317	0.093	0.045	C217	0.113	0.046	
C318	0.048	0.035	C218	0.052	0.037	
Av	0.178	0.016	Av	0.170	0.014	
