	POPI			POPI		
C32	0.252	0.034	C22	0.188	0.036	
C33	0.232	0.037	C23	0.250	0.035	
C34	0.275	0.033	C24	0.242	0.036	
C35	0.274	0.034	C25	0.252	0.036	
C36	0.290	0.033	C26	0.235	0.038	
C37	0.286	0.035	C27	0.231	0.038	
C38	0.286	0.035	C28	0.167	0.043	
C39	0.274	0.037	C29	0.111	0.045	
C310	0.266	0.037	C210	0.056	0.038	
C311	0.250	0.038	C211	0.131	0.045	
C312	0.234	0.039	C212	0.193	0.041	
C313	0.207	0.042	C213	0.196	0.042	
C314	0.178	0.043	C214	0.207	0.042	
C315	0.130	0.046	C215	0.185	0.043	
C316	0.053	0.037	C216	0.167	0.044	
 	 	 	C217	0.120	0.047	
 	 	 	C218	0.054	0.038	
Av	0.232	0.017	Av	0.176	0.015	
