	DOPC			DOPC		
C32	0.248	0.036	C22	0.183	0.040	
C33	0.223	0.042	C23	0.236	0.038	
C34	0.255	0.040	C24	0.236	0.039	
C35	0.245	0.040	C25	0.244	0.039	
C36	0.245	0.041	C26	0.229	0.041	
C37	0.226	0.042	C27	0.226	0.041	
C38	0.187	0.045	C28	0.162	0.047	
C39	0.134	0.046	C29	0.114	0.047	
C310	0.104	0.047	C210	0.052	0.036	
C311	0.134	0.050	C211	0.114	0.050	
C312	0.172	0.048	C212	0.170	0.048	
C313	0.170	0.048	C213	0.171	0.048	
C314	0.172	0.048	C214	0.183	0.047	
C315	0.150	0.049	C215	0.164	0.048	
C316	0.132	0.050	C216	0.150	0.049	
C317	0.095	0.050	C217	0.109	0.050	
C318	0.053	0.038	C218	0.055	0.040	
Av	0.173	0.014	Av	0.165	0.014	
