	POPI			POPI		
C32	0.249	0.036	C22	0.203	0.038	
C33	0.226	0.042	C23	0.258	0.036	
C34	0.274	0.038	C24	0.250	0.038	
C35	0.270	0.039	C25	0.259	0.037	
C36	0.285	0.037	C26	0.244	0.040	
C37	0.281	0.037	C27	0.240	0.040	
C38	0.281	0.037	C28	0.172	0.046	
C39	0.270	0.038	C29	0.114	0.048	
C310	0.263	0.038	C210	0.064	0.041	
C311	0.247	0.041	C211	0.140	0.049	
C312	0.234	0.042	C212	0.201	0.044	
C313	0.209	0.045	C213	0.204	0.045	
C314	0.182	0.047	C214	0.214	0.044	
C315	0.133	0.050	C215	0.192	0.046	
C316	0.057	0.040	C216	0.172	0.048	
 	 	 	C217	0.124	0.051	
 	 	 	C218	0.058	0.040	
Av	0.231	0.016	Av	0.183	0.015	
