	POPI			POPI		
C32	0.246	0.032	C22	0.196	0.033	
C33	0.223	0.035	C23	0.248	0.031	
C34	0.265	0.032	C24	0.237	0.033	
C35	0.260	0.032	C25	0.242	0.032	
C36	0.275	0.031	C26	0.224	0.034	
C37	0.268	0.032	C27	0.220	0.035	
C38	0.268	0.031	C28	0.158	0.039	
C39	0.254	0.033	C29	0.112	0.041	
C310	0.244	0.034	C210	0.041	0.030	
C311	0.224	0.036	C211	0.106	0.041	
C312	0.208	0.037	C212	0.165	0.038	
C313	0.181	0.039	C213	0.166	0.039	
C314	0.154	0.041	C214	0.176	0.038	
C315	0.109	0.042	C215	0.155	0.041	
C316	0.046	0.033	C216	0.139	0.042	
 	 	 	C217	0.100	0.043	
 	 	 	C218	0.047	0.034	
Av	0.215	0.017	Av	0.161	0.015	
