	POPI			POPI		
C32	0.243	0.038	C22	0.200	0.041	
C33	0.228	0.041	C23	0.260	0.039	
C34	0.272	0.037	C24	0.250	0.039	
C35	0.269	0.039	C25	0.261	0.039	
C36	0.284	0.037	C26	0.243	0.041	
C37	0.277	0.038	C27	0.239	0.041	
C38	0.280	0.038	C28	0.170	0.047	
C39	0.269	0.039	C29	0.117	0.049	
C310	0.262	0.040	C210	0.057	0.040	
C311	0.246	0.041	C211	0.128	0.049	
C312	0.231	0.043	C212	0.192	0.046	
C313	0.206	0.045	C213	0.195	0.046	
C314	0.178	0.047	C214	0.206	0.045	
C315	0.130	0.051	C215	0.184	0.047	
C316	0.057	0.040	C216	0.166	0.048	
 	 	 	C217	0.120	0.050	
 	 	 	C218	0.057	0.040	
Av	0.229	0.016	Av	0.179	0.015	
