	DOPC			DOPC		
C32	0.261	0.036	C22	0.178	0.042	
C33	0.232	0.040	C23	0.242	0.038	
C34	0.266	0.036	C24	0.239	0.040	
C35	0.256	0.038	C25	0.249	0.040	
C36	0.256	0.039	C26	0.231	0.041	
C37	0.236	0.041	C27	0.227	0.041	
C38	0.195	0.044	C28	0.162	0.046	
C39	0.136	0.047	C29	0.111	0.048	
C310	0.101	0.047	C210	0.053	0.038	
C311	0.133	0.049	C211	0.120	0.049	
C312	0.175	0.046	C212	0.179	0.047	
C313	0.170	0.048	C213	0.182	0.047	
C314	0.174	0.048	C214	0.192	0.046	
C315	0.150	0.049	C215	0.171	0.048	
C316	0.133	0.050	C216	0.155	0.049	
C317	0.094	0.049	C217	0.114	0.050	
C318	0.053	0.038	C218	0.056	0.040	
Av	0.178	0.015	Av	0.168	0.014	
