	POPI			POPI		
C32	0.233	0.044	C22	0.216	0.046	
C33	0.217	0.048	C23	0.257	0.042	
C34	0.270	0.041	C24	0.242	0.043	
C35	0.269	0.043	C25	0.250	0.044	
C36	0.285	0.041	C26	0.234	0.046	
C37	0.279	0.041	C27	0.230	0.046	
C38	0.278	0.042	C28	0.168	0.053	
C39	0.267	0.044	C29	0.110	0.054	
C310	0.259	0.046	C210	0.062	0.043	
C311	0.244	0.048	C211	0.130	0.056	
C312	0.230	0.050	C212	0.189	0.053	
C313	0.206	0.052	C213	0.195	0.052	
C314	0.180	0.055	C214	0.206	0.050	
C315	0.134	0.057	C215	0.186	0.052	
C316	0.062	0.045	C216	0.168	0.054	
 	 	 	C217	0.121	0.056	
 	 	 	C218	0.062	0.044	
Av	0.228	0.015	Av	0.178	0.015	
