	DOPC			DOPC		
C32	0.277	0.039	C22	0.165	0.049	
C33	0.232	0.049	C23	0.235	0.044	
C34	0.265	0.044	C24	0.236	0.044	
C35	0.254	0.046	C25	0.246	0.045	
C36	0.254	0.044	C26	0.230	0.047	
C37	0.232	0.047	C27	0.227	0.048	
C38	0.196	0.051	C28	0.163	0.053	
C39	0.131	0.052	C29	0.111	0.053	
C310	0.102	0.052	C210	0.055	0.041	
C311	0.136	0.057	C211	0.121	0.055	
C312	0.180	0.054	C212	0.182	0.053	
C313	0.177	0.053	C213	0.187	0.053	
C314	0.183	0.053	C214	0.198	0.053	
C315	0.159	0.055	C215	0.181	0.054	
C316	0.142	0.056	C216	0.166	0.055	
C317	0.103	0.055	C217	0.123	0.057	
C318	0.060	0.043	C218	0.062	0.045	
Av	0.181	0.015	Av	0.170	0.014	
