	POPI			POPI		
C32	0.242	0.033	C22	0.209	0.036	
C33	0.228	0.035	C23	0.261	0.033	
C34	0.272	0.032	C24	0.247	0.035	
C35	0.272	0.032	C25	0.257	0.034	
C36	0.289	0.031	C26	0.239	0.036	
C37	0.283	0.032	C27	0.236	0.036	
C38	0.284	0.032	C28	0.172	0.040	
C39	0.272	0.033	C29	0.117	0.042	
C310	0.263	0.034	C210	0.051	0.036	
C311	0.244	0.036	C211	0.123	0.043	
C312	0.229	0.037	C212	0.184	0.040	
C313	0.202	0.040	C213	0.187	0.040	
C314	0.172	0.042	C214	0.197	0.039	
C315	0.124	0.044	C215	0.176	0.041	
C316	0.050	0.035	C216	0.158	0.042	
 	 	 	C217	0.113	0.044	
 	 	 	C218	0.051	0.036	
Av	0.228	0.017	Av	0.175	0.016	
