	DOPC			DOPC		
C32	0.256	0.031	C22	0.179	0.037	
C33	0.223	0.037	C23	0.233	0.034	
C34	0.258	0.033	C24	0.233	0.034	
C35	0.250	0.035	C25	0.243	0.034	
C36	0.250	0.035	C26	0.227	0.036	
C37	0.233	0.036	C27	0.224	0.036	
C38	0.195	0.039	C28	0.161	0.040	
C39	0.137	0.041	C29	0.112	0.042	
C310	0.096	0.041	C210	0.047	0.033	
C311	0.129	0.043	C211	0.115	0.043	
C312	0.171	0.041	C212	0.175	0.041	
C313	0.165	0.042	C213	0.180	0.041	
C314	0.168	0.042	C214	0.190	0.040	
C315	0.143	0.043	C215	0.171	0.042	
C316	0.127	0.044	C216	0.154	0.042	
C317	0.089	0.044	C217	0.110	0.044	
C318	0.047	0.034	C218	0.050	0.035	
Av	0.173	0.015	Av	0.165	0.014	
