	POPI			POPI		
C32	0.256	0.034	C22	0.204	0.037	
C33	0.241	0.038	C23	0.262	0.034	
C34	0.282	0.035	C24	0.253	0.037	
C35	0.282	0.036	C25	0.263	0.036	
C36	0.297	0.034	C26	0.247	0.038	
C37	0.291	0.036	C27	0.243	0.038	
C38	0.292	0.036	C28	0.179	0.043	
C39	0.280	0.037	C29	0.125	0.045	
C310	0.272	0.037	C210	0.055	0.037	
C311	0.256	0.038	C211	0.128	0.045	
C312	0.240	0.040	C212	0.195	0.042	
C313	0.214	0.042	C213	0.199	0.042	
C314	0.184	0.044	C214	0.209	0.042	
C315	0.134	0.048	C215	0.188	0.044	
C316	0.054	0.038	C216	0.169	0.045	
 	 	 	C217	0.121	0.049	
 	 	 	C218	0.056	0.039	
Av	0.238	0.017	Av	0.182	0.016	
