	DOPC			DOPC		
C32	0.266	0.034	C22	0.165	0.040	
C33	0.235	0.038	C23	0.233	0.036	
C34	0.263	0.037	C24	0.233	0.038	
C35	0.256	0.038	C25	0.251	0.037	
C36	0.256	0.038	C26	0.231	0.040	
C37	0.238	0.039	C27	0.230	0.039	
C38	0.199	0.043	C28	0.160	0.045	
C39	0.138	0.044	C29	0.111	0.045	
C310	0.096	0.044	C210	0.053	0.037	
C311	0.135	0.045	C211	0.128	0.047	
C312	0.177	0.043	C212	0.189	0.044	
C313	0.173	0.045	C213	0.194	0.044	
C314	0.179	0.044	C214	0.205	0.043	
C315	0.155	0.046	C215	0.185	0.044	
C316	0.138	0.047	C216	0.167	0.045	
C317	0.098	0.048	C217	0.121	0.048	
C318	0.052	0.037	C218	0.055	0.039	
Av	0.180	0.015	Av	0.171	0.014	
